Domain Code,Domain,Area Code (M49),Area,Element Code,Element,Item Code,Item,Year Code,Year,Unit,Value,Flag,Flag Description,Note
"RL","Land Use","001","World","5110","Area","6610","Agricultural land","2005","2005","1000 ha","4815374.6427","B","Time series break",""
"RL","Land Use","001","World","7209","Share in Land area","6610","Agricultural land","2005","2005","%","36.98","E","Estimated value",""
"RL","Land Use","001","World","5110","Area","6610","Agricultural land","2006","2006","1000 ha","4814907.6485","E","Estimated value",""
"RL","Land Use","001","World","7209","Share in Land area","6610","Agricultural land","2006","2006","%","36.98","E","Estimated value",""
"RL","Land Use","001","World","5110","Area","6610","Agricultural land","2007","2007","1000 ha","4806551.3404","E","Estimated value",""
"RL","Land Use","001","World","7209","Share in Land area","6610","Agricultural land","2007","2007","%","36.92","E","Estimated value",""
"RL","Land Use","001","World","5110","Area","6610","Agricultural land","2008","2008","1000 ha","4790768.9547","B","Time series break",""
"RL","Land Use","001","World","7209","Share in Land area","6610","Agricultural land","2008","2008","%","36.8","E","Estimated value",""
"RL","Land Use","001","World","5110","Area","6610","Agricultural land","2009","2009","1000 ha","4784847.1799","E","Estimated value",""
"RL","Land Use","001","World","7209","Share in Land area","6610","Agricultural land","2009","2009","%","36.76","E","Estimated value",""
"RL","Land Use","001","World","5110","Area","6610","Agricultural land","2010","2010","1000 ha","4784225.4636","B","Time series break",""
"RL","Land Use","001","World","7209","Share in Land area","6610","Agricultural land","2010","2010","%","36.75","E","Estimated value",""
"RL","Land Use","001","World","5110","Area","6610","Agricultural land","2011","2011","1000 ha","4803022.7907","E","Estimated value",""
"RL","Land Use","001","World","7209","Share in Land area","6610","Agricultural land","2011","2011","%","36.89","E","Estimated value",""
"RL","Land Use","001","World","5110","Area","6610","Agricultural land","2012","2012","1000 ha","4796913.1257","E","Estimated value",""
"RL","Land Use","001","World","7209","Share in Land area","6610","Agricultural land","2012","2012","%","36.81","E","Estimated value",""
"RL","Land Use","001","World","5110","Area","6610","Agricultural land","2013","2013","1000 ha","4786768.9687","B","Time series break",""
"RL","Land Use","001","World","7209","Share in Land area","6610","Agricultural land","2013","2013","%","36.73","E","Estimated value",""
"RL","Land Use","001","World","5110","Area","6610","Agricultural land","2014","2014","1000 ha","4786581.6598","B","Time series break",""
"RL","Land Use","001","World","7209","Share in Land area","6610","Agricultural land","2014","2014","%","36.73","E","Estimated value",""
"RL","Land Use","001","World","5110","Area","6610","Agricultural land","2015","2015","1000 ha","4764813.5544","E","Estimated value",""
"RL","Land Use","001","World","7209","Share in Land area","6610","Agricultural land","2015","2015","%","36.57","E","Estimated value",""
"RL","Land Use","001","World","5110","Area","6610","Agricultural land","2016","2016","1000 ha","4760828.9422","E","Estimated value",""
"RL","Land Use","001","World","7209","Share in Land area","6610","Agricultural land","2016","2016","%","36.53","E","Estimated value",""
"RL","Land Use","001","World","5110","Area","6610","Agricultural land","2017","2017","1000 ha","4792672.0117","E","Estimated value",""
"RL","Land Use","001","World","7209","Share in Land area","6610","Agricultural land","2017","2017","%","36.78","E","Estimated value",""
"RL","Land Use","001","World","5110","Area","6610","Agricultural land","2018","2018","1000 ha","4780285.6022","E","Estimated value",""
"RL","Land Use","001","World","7209","Share in Land area","6610","Agricultural land","2018","2018","%","36.68","E","Estimated value",""
"RL","Land Use","001","World","5110","Area","6610","Agricultural land","2019","2019","1000 ha","4783383.9949","E","Estimated value",""
"RL","Land Use","001","World","7209","Share in Land area","6610","Agricultural land","2019","2019","%","36.71","E","Estimated value",""
"RL","Land Use","001","World","5110","Area","6610","Agricultural land","2020","2020","1000 ha","4779122.9639","E","Estimated value",""
"RL","Land Use","001","World","7209","Share in Land area","6610","Agricultural land","2020","2020","%","36.68","E","Estimated value",""
"RL","Land Use","001","World","5110","Area","6610","Agricultural land","2021","2021","1000 ha","4787551.761","E","Estimated value",""
"RL","Land Use","001","World","7209","Share in Land area","6610","Agricultural land","2021","2021","%","36.79","E","Estimated value",""
"RL","Land Use","001","World","5110","Area","6620","Cropland","1961","1961","1000 ha","1347667.7272","E","Estimated value",""
"RL","Land Use","001","World","7208","Share in Agricultural land","6620","Cropland","1961","1961","%","30.38","E","Estimated value",""
"RL","Land Use","001","World","7209","Share in Land area","6620","Cropland","1961","1961","%","10.33","E","Estimated value",""
"RL","Land Use","001","World","7277","Area per capita","6620","Cropland","1961","1961","ha/cap","0.4392","E","Estimated value",""
"RL","Land Use","001","World","5110","Area","6620","Cropland","1962","1962","1000 ha","1350565.31","E","Estimated value",""
"RL","Land Use","001","World","7208","Share in Agricultural land","6620","Cropland","1962","1962","%","30.38","E","Estimated value",""
"RL","Land Use","001","World","7209","Share in Land area","6620","Cropland","1962","1962","%","10.36","E","Estimated value",""
"RL","Land Use","001","World","7277","Area per capita","6620","Cropland","1962","1962","ha/cap","0.4319","E","Estimated value",""
"RL","Land Use","001","World","5110","Area","6620","Cropland","1963","1963","1000 ha","1356091.9166","E","Estimated value",""
"RL","Land Use","001","World","7208","Share in Agricultural land","6620","Cropland","1963","1963","%","30.45","E","Estimated value",""
"RL","Land Use","001","World","7209","Share in Land area","6620","Cropland","1963","1963","%","10.4","E","Estimated value",""
"RL","Land Use","001","World","7277","Area per capita","6620","Cropland","1963","1963","ha/cap","0.4243","E","Estimated value",""
"RL","Land Use","001","World","5110","Area","6620","Cropland","1964","1964","1000 ha","1358067.4839","E","Estimated value",""
"RL","Land Use","001","World","7208","Share in Agricultural land","6620","Cropland","1964","1964","%","30.44","E","Estimated value",""
"RL","Land Use","001","World","7209","Share in Land area","6620","Cropland","1964","1964","%","10.41","E","Estimated value",""
"RL","Land Use","001","World","7277","Area per capita","6620","Cropland","1964","1964","ha/cap","0.4157","E","Estimated value",""
"RL","Land Use","001","World","5110","Area","6620","Cropland","1965","1965","1000 ha","1361440.4983","E","Estimated value",""
"RL","Land Use","001","World","7208","Share in Agricultural land","6620","Cropland","1965","1965","%","30.42","E","Estimated value",""
"RL","Land Use","001","World","7209","Share in Land area","6620","Cropland","1965","1965","%","10.44","E","Estimated value",""
"RL","Land Use","001","World","7277","Area per capita","6620","Cropland","1965","1965","ha/cap","0.408","E","Estimated value",""
"RL","Land Use","001","World","5110","Area","6620","Cropland","1966","1966","1000 ha","1361105.613","E","Estimated value",""
"RL","Land Use","001","World","7208","Share in Agricultural land","6620","Cropland","1966","1966","%","30.36","E","Estimated value",""
"RL","Land Use","001","World","7209","Share in Land area","6620","Cropland","1966","1966","%","10.44","E","Estimated value",""
"RL","Land Use","001","World","7277","Area per capita","6620","Cropland","1966","1966","ha/cap","0.3996","E","Estimated value",""
"RL","Land Use","001","World","5110","Area","6620","Cropland","1967","1967","1000 ha","1362920.8312","E","Estimated value",""
"RL","Land Use","001","World","7208","Share in Agricultural land","6620","Cropland","1967","1967","%","30.32","E","Estimated value",""
"RL","Land Use","001","World","7209","Share in Land area","6620","Cropland","1967","1967","%","10.45","E","Estimated value",""
"RL","Land Use","001","World","7277","Area per capita","6620","Cropland","1967","1967","ha/cap","0.3922","E","Estimated value",""
"RL","Land Use","001","World","5110","Area","6620","Cropland","1968","1968","1000 ha","1375025.9907","E","Estimated value",""
"RL","Land Use","001","World","7208","Share in Agricultural land","6620","Cropland","1968","1968","%","30.36","E","Estimated value",""
